Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd
12,6,*,*,*,*,*,*,*,*,*,*,*,*
12,8,134.468013,0.027,134.560669,0.001863,*,*,*,*,*,*,*,*
12,10,168.57796,0.001342,168.58093,0.000313,*,*,*,*,*,*,*,*
12,12,198.2572,1.3e-05,198.257202,1.3e-05,*,*,*,*,*,*,*,*
12,14,216.680851,2.7e-05,216.680811,3e-05,*,*,*,*,*,*,*,*
12,16,231.627546,0.002004,231.62775,0.002001,*,*,*,*,*,*,*,*
12,18,241.662212,0.008383,241.63536,0.003447,*,*,*,*,*,*,*,*
12,20,249.848957,0.017698,249.723076,0.00326,*,*,*,*,*,*,*,*
12,22,256.228209,0.231396,256.713464,0.028876,*,*,*,*,*,*,*,*
12,24,*,*,260.799291,0.690237,*,*,*,*,*,*,*,*
12,26,*,*,*,*,*,*,*,*,*,*,*,*
12,28,*,*,*,*,*,*,*,*,*,*,*,*
12,30,*,*,*,*,*,*,*,*,*,*,*,*
12,32,*,*,*,*,*,*,*,*,*,*,*,*
12,34,*,*,*,*,*,*,*,*,*,*,*,*
12,36,*,*,*,*,*,*,*,*,*,*,*,*
12,38,*,*,*,*,*,*,*,*,*,*,*,*
12,40,*,*,*,*,*,*,*,*,*,*,*,*
12,42,*,*,*,*,*,*,*,*,*,*,*,*
12,44,*,*,*,*,*,*,*,*,*,*,*,*
12,46,*,*,*,*,*,*,*,*,*,*,*,*
12,48,*,*,*,*,*,*,*,*,*,*,*,*
12,50,*,*,*,*,*,*,*,*,*,*,*,*
12,52,*,*,*,*,*,*,*,*,*,*,*,*
14,2,*,*,*,*,*,*,*,*,*,*,*,*
14,4,*,*,*,*,*,*,*,*,*,*,*,*
14,6,*,*,*,*,*,*,*,*,*,*,*,*
14,8,*,*,*,*,*,*,*,*,*,*,*,*
14,10,172.004294,0.019472,172.013772,0.019472,*,*,*,*,*,*,*,*
14,12,206.046235,0.003,206.042618,0.000108,*,*,*,*,*,*,*,*
14,14,236.537035,2e-06,236.537033,0.0,*,*,*,*,*,*,*,*
14,16,255.619802,3e-05,255.619834,2.2e-05,*,*,*,*,*,*,*,*
14,18,271.410417,5e-05,271.407196,0.000298,*,*,*,*,*,*,*,*
14,20,283.428916,0.014118,283.428998,0.014118,*,*,*,*,*,*,*,*
14,22,292.097289,0.123455,292.050906,0.071797,*,*,*,*,*,*,*,*
14,24,299.824691,0.137469,299.927716,0.104793,*,*,*,*,*,*,*,*
14,26,306.433001,0.556034,306.470374,0.345119,*,*,*,*,*,*,*,*
14,28,*,*,*,*,*,*,*,*,*,*,*,*
14,30,*,*,*,*,*,*,*,*,*,*,*,*
14,32,*,*,*,*,*,*,*,*,*,*,*,*
14,34,*,*,*,*,*,*,*,*,*,*,*,*
14,36,*,*,*,*,*,*,*,*,*,*,*,*
14,38,*,*,*,*,*,*,*,*,*,*,*,*
14,40,*,*,*,*,*,*,*,*,*,*,*,*
14,42,*,*,*,*,*,*,*,*,*,*,*,*
14,44,*,*,*,*,*,*,*,*,*,*,*,*
14,46,*,*,*,*,*,*,*,*,*,*,*,*
14,48,*,*,*,*,*,*,*,*,*,*,*,*
14,50,*,*,*,*,*,*,*,*,*,*,*,*
14,52,*,*,*,*,*,*,*,*,*,*,*,*
14,54,*,*,*,*,*,*,*,*,*,*,*,*
16,2,*,*,*,*,*,*,*,*,*,*,*,*
16,4,*,*,*,*,*,*,*,*,*,*,*,*
16,6,*,*,*,*,*,*,*,*,*,*,*,*
16,8,*,*,*,*,*,*,*,*,*,*,*,*
16,10,*,*,*,*,*,*,*,*,*,*,*,*
16,12,209.406369,0.16,209.406366,0.16,*,*,*,*,*,*,*,*
16,14,243.68474,0.003003,243.681461,0.000206,*,*,*,*,*,*,*,*
16,16,271.780541,0.000138,271.780377,1e-06,*,*,*,*,*,*,*,*
16,18,291.839268,0.000108,291.839165,4.5e-05,*,*,*,*,*,*,*,*
16,20,308.714191,0.000189,308.714247,0.000188,*,*,*,*,*,*,*,*
16,22,321.053948,0.007172,321.053954,0.007172,*,*,*,*,*,*,*,*
16,24,333.201955,0.141294,333.173233,0.003982,*,*,*,*,*,*,*,*
16,26,344.155526,0.124215,344.115769,0.002794,*,*,*,*,*,*,*,*
16,28,351.736827,0.394541,351.824892,0.005216,*,*,*,*,*,*,*,*
16,30,*,*,*,*,*,*,*,*,*,*,*,*
16,32,*,*,*,*,*,*,*,*,*,*,*,*
16,34,*,*,*,*,*,*,*,*,*,*,*,*
16,36,*,*,*,*,*,*,*,*,*,*,*,*
16,38,*,*,*,*,*,*,*,*,*,*,*,*
16,40,*,*,*,*,*,*,*,*,*,*,*,*
16,42,*,*,*,*,*,*,*,*,*,*,*,*
16,44,*,*,*,*,*,*,*,*,*,*,*,*
16,46,*,*,*,*,*,*,*,*,*,*,*,*
16,48,*,*,*,*,*,*,*,*,*,*,*,*
16,50,*,*,*,*,*,*,*,*,*,*,*,*
16,52,*,*,*,*,*,*,*,*,*,*,*,*
16,54,*,*,*,*,*,*,*,*,*,*,*,*
16,56,*,*,*,*,*,*,*,*,*,*,*,*
16,58,*,*,*,*,*,*,*,*,*,*,*,*
16,60,*,*,*,*,*,*,*,*,*,*,*,*
16,62,*,*,*,*,*,*,*,*,*,*,*,*
16,64,*,*,*,*,*,*,*,*,*,*,*,*
18,2,*,*,*,*,*,*,*,*,*,*,*,*
18,4,*,*,*,*,*,*,*,*,*,*,*,*
18,6,*,*,*,*,*,*,*,*,*,*,*,*
18,8,*,*,*,*,*,*,*,*,*,*,*,*
18,10,*,*,*,*,*,*,*,*,*,*,*,*
18,12,*,*,207.126395,0.206155,*,*,*,*,*,*,*,*
18,14,246.400382,0.00178,246.400529,0.00177,*,*,*,*,*,*,*,*
18,16,278.720031,0.000386,278.721104,7.8e-05,*,*,*,*,*,*,*,*
18,18,306.716989,2.7e-05,306.716989,2.7e-05,*,*,*,*,*,*,*,*
18,20,327.342636,0.000337,327.342906,0.000195,*,*,*,*,*,*,*,*
18,22,343.810617,3e-06,343.810616,2e-06,*,*,*,*,*,*,*,*
18,24,359.336032,0.005775,359.336032,0.005775,*,*,*,*,*,*,*,*
18,26,373.729046,0.001595,373.729248,0.001584,*,*,*,*,*,*,*,*
18,28,386.918755,0.040891,386.971554,0.001118,*,*,*,*,*,*,*,*
18,30,*,*,395.622601,0.307393,*,*,*,*,*,*,*,*
18,32,*,*,*,*,*,*,*,*,*,*,*,*
18,34,*,*,*,*,*,*,*,*,*,*,*,*
18,36,*,*,*,*,*,*,*,*,*,*,*,*
18,38,*,*,*,*,*,*,*,*,*,*,*,*
18,40,*,*,*,*,*,*,*,*,*,*,*,*
18,42,*,*,*,*,*,*,*,*,*,*,*,*
18,44,*,*,*,*,*,*,*,*,*,*,*,*
18,46,*,*,*,*,*,*,*,*,*,*,*,*
18,48,*,*,*,*,*,*,*,*,*,*,*,*
18,50,*,*,*,*,*,*,*,*,*,*,*,*
18,52,*,*,*,*,*,*,*,*,*,*,*,*
18,54,*,*,*,*,*,*,*,*,*,*,*,*
18,56,*,*,*,*,*,*,*,*,*,*,*,*
18,58,*,*,*,*,*,*,*,*,*,*,*,*
18,60,*,*,*,*,*,*,*,*,*,*,*,*
18,62,*,*,*,*,*,*,*,*,*,*,*,*
18,64,*,*,*,*,*,*,*,*,*,*,*,*
18,66,*,*,*,*,*,*,*,*,*,*,*,*
18,68,*,*,*,*,*,*,*,*,*,*,*,*
