Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd
30,16,*,*,*,*,*,*,*,*,*,*,*,*
30,18,*,*,*,*,*,*,*,*,*,*,*,*
30,20,*,*,*,*,*,*,*,*,*,*,*,*
30,22,*,*,*,*,*,*,*,*,*,*,*,*
30,24,*,*,*,*,*,*,*,*,*,*,*,*
30,26,*,*,*,*,*,*,*,*,*,*,*,*
30,28,486.964141,0.050004,486.965191,0.050001,*,*,*,*,*,*,*,*
30,30,514.99685,0.010556,514.983422,0.000564,*,*,*,*,*,*,*,*
30,32,538.123149,0.010023,538.11969,0.000625,*,*,*,*,*,*,*,*
30,34,559.097949,0.000683,559.098368,0.000647,*,*,*,*,*,*,*,*
30,36,578.136417,0.00092,578.13615,0.000749,*,*,*,*,*,*,*,*
30,38,595.386846,0.000955,595.386718,0.000784,*,*,*,*,*,*,*,*
30,40,611.086909,0.001952,611.086996,0.001918,*,*,*,*,*,*,*,*
30,42,625.796277,0.006086,625.810383,0.002142,*,*,*,*,*,*,*,*
30,44,639.516416,0.047138,639.564245,0.002515,*,*,*,*,*,*,*,*
30,46,652.086809,0.080024,652.253185,0.001456,*,*,*,*,*,*,*,*
30,48,663.435375,0.090033,663.57604,0.001944,*,*,*,*,*,*,*,*
30,50,674.080209,0.172051,673.884052,0.002585,*,*,*,*,*,*,*,*
30,52,*,*,680.69203,0.003074,*,*,*,*,*,*,*,*
30,54,*,*,*,*,*,*,*,*,*,*,*,*
30,56,*,*,*,*,*,*,*,*,*,*,*,*
30,58,*,*,*,*,*,*,*,*,*,*,*,*
30,60,*,*,*,*,*,*,*,*,*,*,*,*
30,62,*,*,*,*,*,*,*,*,*,*,*,*
30,64,*,*,*,*,*,*,*,*,*,*,*,*
30,66,*,*,*,*,*,*,*,*,*,*,*,*
30,68,*,*,*,*,*,*,*,*,*,*,*,*
30,70,*,*,*,*,*,*,*,*,*,*,*,*
30,72,*,*,*,*,*,*,*,*,*,*,*,*
30,74,*,*,*,*,*,*,*,*,*,*,*,*
30,76,*,*,*,*,*,*,*,*,*,*,*,*
30,78,*,*,*,*,*,*,*,*,*,*,*,*
30,80,*,*,*,*,*,*,*,*,*,*,*,*
30,82,*,*,*,*,*,*,*,*,*,*,*,*
30,84,*,*,*,*,*,*,*,*,*,*,*,*
30,86,*,*,*,*,*,*,*,*,*,*,*,*
30,88,*,*,*,*,*,*,*,*,*,*,*,*
30,90,*,*,*,*,*,*,*,*,*,*,*,*
30,92,*,*,*,*,*,*,*,*,*,*,*,*
30,94,*,*,*,*,*,*,*,*,*,*,*,*
30,96,*,*,*,*,*,*,*,*,*,*,*,*
30,98,*,*,*,*,*,*,*,*,*,*,*,*
30,100,*,*,*,*,*,*,*,*,*,*,*,*
32,10,*,*,*,*,*,*,*,*,*,*,*,*
32,12,*,*,*,*,*,*,*,*,*,*,*,*
32,14,*,*,*,*,*,*,*,*,*,*,*,*
32,16,*,*,*,*,*,*,*,*,*,*,*,*
32,18,*,*,*,*,*,*,*,*,*,*,*,*
32,20,*,*,*,*,*,*,*,*,*,*,*,*
32,22,*,*,*,*,*,*,*,*,*,*,*,*
32,24,*,*,*,*,*,*,*,*,*,*,*,*
32,26,*,*,*,*,*,*,*,*,*,*,*,*
32,28,*,*,*,*,*,*,*,*,*,*,*,*
32,30,*,*,*,*,*,*,*,*,*,*,*,*
32,32,545.879569,0.031671,545.845184,0.003726,*,*,*,*,*,*,*,*
32,34,569.296751,0.030164,569.279356,0.002401,*,*,*,*,*,*,*,*
32,36,590.794744,0.006227,590.793748,0.001876,*,*,*,*,*,*,*,*
32,38,610.520706,0.001027,610.519471,0.000838,*,*,*,*,*,*,*,*
32,40,628.686142,0.001635,628.686131,7.6e-05,*,*,*,*,*,*,*,*
32,42,645.665304,0.001635,645.665309,1.3e-05,*,*,*,*,*,*,*,*
32,44,661.598549,0.001651,661.598392,1.8e-05,*,*,*,*,*,*,*,*
32,46,676.390349,0.003902,676.390188,0.003536,*,*,*,*,*,*,*,*
32,48,690.185943,0.028312,690.20608,0.002054,*,*,*,*,*,*,*,*
32,50,702.437418,0.244139,702.228477,0.002241,*,*,*,*,*,*,*,*
32,52,*,*,711.104474,0.003171,*,*,*,*,*,*,*,*
32,54,*,*,718.498604,0.437802,*,*,*,*,*,*,*,*
32,56,*,*,*,*,*,*,*,*,*,*,*,*
32,58,*,*,*,*,*,*,*,*,*,*,*,*
32,60,*,*,*,*,*,*,*,*,*,*,*,*
32,62,*,*,*,*,*,*,*,*,*,*,*,*
32,64,*,*,*,*,*,*,*,*,*,*,*,*
32,66,*,*,*,*,*,*,*,*,*,*,*,*
32,68,*,*,*,*,*,*,*,*,*,*,*,*
32,70,*,*,*,*,*,*,*,*,*,*,*,*
32,72,*,*,*,*,*,*,*,*,*,*,*,*
32,74,*,*,*,*,*,*,*,*,*,*,*,*
32,76,*,*,*,*,*,*,*,*,*,*,*,*
32,78,*,*,*,*,*,*,*,*,*,*,*,*
32,80,*,*,*,*,*,*,*,*,*,*,*,*
32,82,*,*,*,*,*,*,*,*,*,*,*,*
32,84,*,*,*,*,*,*,*,*,*,*,*,*
32,86,*,*,*,*,*,*,*,*,*,*,*,*
32,88,*,*,*,*,*,*,*,*,*,*,*,*
32,90,*,*,*,*,*,*,*,*,*,*,*,*
32,92,*,*,*,*,*,*,*,*,*,*,*,*
32,94,*,*,*,*,*,*,*,*,*,*,*,*
32,96,*,*,*,*,*,*,*,*,*,*,*,*
32,98,*,*,*,*,*,*,*,*,*,*,*,*
32,100,*,*,*,*,*,*,*,*,*,*,*,*
32,102,*,*,*,*,*,*,*,*,*,*,*,*
32,104,*,*,*,*,*,*,*,*,*,*,*,*
34,12,*,*,*,*,*,*,*,*,*,*,*,*
34,14,*,*,*,*,*,*,*,*,*,*,*,*
34,16,*,*,*,*,*,*,*,*,*,*,*,*
34,18,*,*,*,*,*,*,*,*,*,*,*,*
34,20,*,*,*,*,*,*,*,*,*,*,*,*
34,22,*,*,*,*,*,*,*,*,*,*,*,*
34,24,*,*,*,*,*,*,*,*,*,*,*,*
34,26,*,*,*,*,*,*,*,*,*,*,*,*
34,28,*,*,*,*,*,*,*,*,*,*,*,*
34,30,*,*,*,*,*,*,*,*,*,*,*,*
34,32,*,*,*,*,*,*,*,*,*,*,*,*
34,34,576.465107,0.032602,576.439734,0.000496,*,*,*,*,*,*,*,*
34,36,600.439145,0.061582,600.32282,0.001584,*,*,*,*,*,*,*,*
34,38,622.429972,0.012057,622.403745,0.001956,*,*,*,*,*,*,*,*
34,40,642.890936,0.001676,642.891402,1.5e-05,*,*,*,*,*,*,*,*
34,42,662.072887,0.001651,662.072787,1.6e-05,*,*,*,*,*,*,*,*
34,44,679.989558,0.001655,679.989416,0.000179,*,*,*,*,*,*,*,*
34,46,696.866044,0.001989,696.865565,0.000963,*,*,*,*,*,*,*,*
34,48,712.842752,0.00202,712.842626,0.000467,*,*,*,*,*,*,*,*
34,50,727.343209,0.014541,727.339101,0.001961,*,*,*,*,*,*,*,*
34,52,738.074586,0.015557,738.037183,0.00252,*,*,*,*,*,*,*,*
34,54,747.554786,0.049366,747.560846,0.003357,*,*,*,*,*,*,*,*
34,56,*,*,755.619504,0.329749,*,*,*,*,*,*,*,*
34,58,*,*,*,*,*,*,*,*,*,*,*,*
34,60,*,*,*,*,*,*,*,*,*,*,*,*
34,62,*,*,*,*,*,*,*,*,*,*,*,*
34,64,*,*,*,*,*,*,*,*,*,*,*,*
34,66,*,*,*,*,*,*,*,*,*,*,*,*
34,68,*,*,*,*,*,*,*,*,*,*,*,*
34,70,*,*,*,*,*,*,*,*,*,*,*,*
34,72,*,*,*,*,*,*,*,*,*,*,*,*
34,74,*,*,*,*,*,*,*,*,*,*,*,*
34,76,*,*,*,*,*,*,*,*,*,*,*,*
34,78,*,*,*,*,*,*,*,*,*,*,*,*
34,80,*,*,*,*,*,*,*,*,*,*,*,*
34,82,*,*,*,*,*,*,*,*,*,*,*,*
34,84,*,*,*,*,*,*,*,*,*,*,*,*
34,86,*,*,*,*,*,*,*,*,*,*,*,*
34,88,*,*,*,*,*,*,*,*,*,*,*,*
34,90,*,*,*,*,*,*,*,*,*,*,*,*
34,92,*,*,*,*,*,*,*,*,*,*,*,*
34,94,*,*,*,*,*,*,*,*,*,*,*,*
34,96,*,*,*,*,*,*,*,*,*,*,*,*
34,98,*,*,*,*,*,*,*,*,*,*,*,*
34,100,*,*,*,*,*,*,*,*,*,*,*,*
34,102,*,*,*,*,*,*,*,*,*,*,*,*
34,104,*,*,*,*,*,*,*,*,*,*,*,*
34,106,*,*,*,*,*,*,*,*,*,*,*,*
34,108,*,*,*,*,*,*,*,*,*,*,*,*
36,14,*,*,*,*,*,*,*,*,*,*,*,*
36,16,*,*,*,*,*,*,*,*,*,*,*,*
36,18,*,*,*,*,*,*,*,*,*,*,*,*
36,20,*,*,*,*,*,*,*,*,*,*,*,*
36,22,*,*,*,*,*,*,*,*,*,*,*,*
36,24,*,*,*,*,*,*,*,*,*,*,*,*
36,26,*,*,*,*,*,*,*,*,*,*,*,*
36,28,*,*,*,*,*,*,*,*,*,*,*,*
36,30,*,*,*,*,*,*,*,*,*,*,*,*
36,32,*,*,*,*,*,*,*,*,*,*,*,*
36,34,*,*,*,*,*,*,*,*,*,*,*,*
36,36,606.911818,0.007993,606.911474,0.008011,*,*,*,*,*,*,*,*
36,38,631.445044,0.00204,631.445371,0.002013,*,*,*,*,*,*,*,*
36,40,654.270488,0.004032,654.269884,0.004013,*,*,*,*,*,*,*,*
36,42,675.578533,0.001075,675.577081,0.000307,*,*,*,*,*,*,*,*
36,44,695.433934,0.00147,695.434788,0.000691,*,*,*,*,*,*,*,*
36,46,714.273586,0.00178,714.275863,5e-06,*,*,*,*,*,*,*,*
36,48,732.257705,0.002805,732.266049,4e-06,*,*,*,*,*,*,*,*
36,50,749.234919,0.000102,749.235015,4e-06,*,*,*,*,*,*,*,*
36,52,761.80412,0.013417,761.803271,0.002608,*,*,*,*,*,*,*,*
36,54,773.224467,0.018505,773.213871,0.001863,*,*,*,*,*,*,*,*
36,56,783.182305,0.011715,783.166577,0.002701,*,*,*,*,*,*,*,*
36,58,*,*,791.887665,0.012109,*,*,*,*,*,*,*,*
36,60,*,*,799.762206,0.020493,*,*,*,*,*,*,*,*
36,62,*,*,*,*,*,*,*,*,*,*,*,*
36,64,*,*,*,*,*,*,*,*,*,*,*,*
36,66,*,*,*,*,*,*,*,*,*,*,*,*
36,68,*,*,*,*,*,*,*,*,*,*,*,*
36,70,*,*,*,*,*,*,*,*,*,*,*,*
36,72,*,*,*,*,*,*,*,*,*,*,*,*
36,74,*,*,*,*,*,*,*,*,*,*,*,*
36,76,*,*,*,*,*,*,*,*,*,*,*,*
36,78,*,*,*,*,*,*,*,*,*,*,*,*
36,80,*,*,*,*,*,*,*,*,*,*,*,*
36,82,*,*,*,*,*,*,*,*,*,*,*,*
36,84,*,*,*,*,*,*,*,*,*,*,*,*
36,86,*,*,*,*,*,*,*,*,*,*,*,*
36,88,*,*,*,*,*,*,*,*,*,*,*,*
36,90,*,*,*,*,*,*,*,*,*,*,*,*
36,92,*,*,*,*,*,*,*,*,*,*,*,*
36,94,*,*,*,*,*,*,*,*,*,*,*,*
36,96,*,*,*,*,*,*,*,*,*,*,*,*
36,98,*,*,*,*,*,*,*,*,*,*,*,*
36,100,*,*,*,*,*,*,*,*,*,*,*,*
36,102,*,*,*,*,*,*,*,*,*,*,*,*
36,104,*,*,*,*,*,*,*,*,*,*,*,*
36,106,*,*,*,*,*,*,*,*,*,*,*,*
36,108,*,*,*,*,*,*,*,*,*,*,*,*
36,110,*,*,*,*,*,*,*,*,*,*,*,*
36,112,*,*,*,*,*,*,*,*,*,*,*,*
38,14,*,*,*,*,*,*,*,*,*,*,*,*
38,16,*,*,*,*,*,*,*,*,*,*,*,*
38,18,*,*,*,*,*,*,*,*,*,*,*,*
38,20,*,*,*,*,*,*,*,*,*,*,*,*
38,22,*,*,*,*,*,*,*,*,*,*,*,*
38,24,*,*,*,*,*,*,*,*,*,*,*,*
38,26,*,*,*,*,*,*,*,*,*,*,*,*
38,28,*,*,*,*,*,*,*,*,*,*,*,*
38,30,*,*,*,*,*,*,*,*,*,*,*,*
38,32,*,*,*,*,*,*,*,*,*,*,*,*
38,34,*,*,*,*,*,*,*,*,*,*,*,*
38,36,*,*,*,*,*,*,*,*,*,*,*,*
38,38,637.935397,0.03726,637.939143,0.034465,*,*,*,*,*,*,*,*
38,40,663.008064,0.007452,663.008081,0.007452,*,*,*,*,*,*,*,*
38,42,686.284999,0.006575,686.288235,0.003464,*,*,*,*,*,*,*,*
38,44,708.127796,0.00557,708.129465,0.005992,*,*,*,*,*,*,*,*
38,46,728.905885,0.003202,728.911618,0.001243,*,*,*,*,*,*,*,*
38,48,748.928259,0.001074,748.927773,5e-06,*,*,*,*,*,*,*,*
38,50,768.469059,0.001083,768.468937,6e-06,*,*,*,*,*,*,*,*
38,52,782.631559,0.002887,782.638082,0.002124,*,*,*,*,*,*,*,*
38,54,795.700293,0.003403,795.699952,0.003423,*,*,*,*,*,*,*,*
38,56,807.815657,0.007184,807.820938,0.001663,*,*,*,*,*,*,*,*
38,58,818.056821,0.02738,818.042019,0.008475,*,*,*,*,*,*,*,*
38,60,827.90616,0.026349,827.683602,0.003226,*,*,*,*,*,*,*,*
38,62,837.622441,0.127217,837.224037,0.00716,*,*,*,*,*,*,*,*
38,64,846.623241,0.111172,845.705074,0.067068,*,*,*,*,*,*,*,*
38,66,*,*,*,*,*,*,*,*,*,*,*,*
38,68,*,*,*,*,*,*,*,*,*,*,*,*
38,70,*,*,*,*,*,*,*,*,*,*,*,*
38,72,*,*,*,*,*,*,*,*,*,*,*,*
38,74,*,*,*,*,*,*,*,*,*,*,*,*
38,76,*,*,*,*,*,*,*,*,*,*,*,*
38,78,*,*,*,*,*,*,*,*,*,*,*,*
38,80,*,*,*,*,*,*,*,*,*,*,*,*
38,82,*,*,*,*,*,*,*,*,*,*,*,*
38,84,*,*,*,*,*,*,*,*,*,*,*,*
38,86,*,*,*,*,*,*,*,*,*,*,*,*
38,88,*,*,*,*,*,*,*,*,*,*,*,*
38,90,*,*,*,*,*,*,*,*,*,*,*,*
38,92,*,*,*,*,*,*,*,*,*,*,*,*
38,94,*,*,*,*,*,*,*,*,*,*,*,*
38,96,*,*,*,*,*,*,*,*,*,*,*,*
38,98,*,*,*,*,*,*,*,*,*,*,*,*
38,100,*,*,*,*,*,*,*,*,*,*,*,*
38,102,*,*,*,*,*,*,*,*,*,*,*,*
38,104,*,*,*,*,*,*,*,*,*,*,*,*
38,106,*,*,*,*,*,*,*,*,*,*,*,*
38,108,*,*,*,*,*,*,*,*,*,*,*,*
38,110,*,*,*,*,*,*,*,*,*,*,*,*
38,112,*,*,*,*,*,*,*,*,*,*,*,*
38,114,*,*,*,*,*,*,*,*,*,*,*,*
38,116,*,*,*,*,*,*,*,*,*,*,*,*
38,118,*,*,*,*,*,*,*,*,*,*,*,*
40,16,*,*,*,*,*,*,*,*,*,*,*,*
40,18,*,*,*,*,*,*,*,*,*,*,*,*
40,20,*,*,*,*,*,*,*,*,*,*,*,*
40,22,*,*,*,*,*,*,*,*,*,*,*,*
40,24,*,*,*,*,*,*,*,*,*,*,*,*
40,26,*,*,*,*,*,*,*,*,*,*,*,*
40,28,*,*,*,*,*,*,*,*,*,*,*,*
40,30,*,*,*,*,*,*,*,*,*,*,*,*
40,32,*,*,*,*,*,*,*,*,*,*,*,*
40,34,*,*,*,*,*,*,*,*,*,*,*,*
40,36,*,*,*,*,*,*,*,*,*,*,*,*
40,38,*,*,*,*,*,*,*,*,*,*,*,*
40,40,669.929153,1.49039,*,*,*,*,*,*,*,*,*,*
40,42,*,*,694.186033,0.011178,*,*,*,*,*,*,*,*
40,44,*,*,718.119067,0.005499,*,*,*,*,*,*,*,*
40,46,740.644367,0.030093,740.809031,0.003566,*,*,*,*,*,*,*,*
40,48,762.605754,0.010277,762.611524,0.005403,*,*,*,*,*,*,*,*
40,50,783.892554,0.002368,783.897824,0.000118,*,*,*,*,*,*,*,*
40,52,799.721807,0.002345,799.726953,0.000102,*,*,*,*,*,*,*,*
40,54,814.677397,0.00242,814.679882,0.000164,*,*,*,*,*,*,*,*
40,56,828.995987,0.002788,828.992042,0.000114,*,*,*,*,*,*,*,*
40,58,840.982757,0.019946,840.982541,0.008451,*,*,*,*,*,*,*,*
40,60,852.442775,0.035837,852.215905,0.008149,*,*,*,*,*,*,*,*
40,62,863.723575,0.050589,863.568811,0.008767,*,*,*,*,*,*,*,*
40,64,*,*,873.847799,0.009325,*,*,*,*,*,*,*,*
40,66,*,*,882.816362,0.433145,*,*,*,*,*,*,*,*
40,68,*,*,*,*,*,*,*,*,*,*,*,*
40,70,*,*,*,*,*,*,*,*,*,*,*,*
40,72,*,*,*,*,*,*,*,*,*,*,*,*
40,74,*,*,*,*,*,*,*,*,*,*,*,*
40,76,*,*,*,*,*,*,*,*,*,*,*,*
40,78,*,*,*,*,*,*,*,*,*,*,*,*
40,80,*,*,*,*,*,*,*,*,*,*,*,*
40,82,*,*,*,*,*,*,*,*,*,*,*,*
40,84,*,*,*,*,*,*,*,*,*,*,*,*
40,86,*,*,*,*,*,*,*,*,*,*,*,*
40,88,*,*,*,*,*,*,*,*,*,*,*,*
40,90,*,*,*,*,*,*,*,*,*,*,*,*
40,92,*,*,*,*,*,*,*,*,*,*,*,*
40,94,*,*,*,*,*,*,*,*,*,*,*,*
40,96,*,*,*,*,*,*,*,*,*,*,*,*
40,98,*,*,*,*,*,*,*,*,*,*,*,*
40,100,*,*,*,*,*,*,*,*,*,*,*,*
40,102,*,*,*,*,*,*,*,*,*,*,*,*
40,104,*,*,*,*,*,*,*,*,*,*,*,*
40,106,*,*,*,*,*,*,*,*,*,*,*,*
40,108,*,*,*,*,*,*,*,*,*,*,*,*
40,110,*,*,*,*,*,*,*,*,*,*,*,*
40,112,*,*,*,*,*,*,*,*,*,*,*,*
40,114,*,*,*,*,*,*,*,*,*,*,*,*
40,116,*,*,*,*,*,*,*,*,*,*,*,*
40,118,*,*,*,*,*,*,*,*,*,*,*,*
40,120,*,*,*,*,*,*,*,*,*,*,*,*
42,18,*,*,*,*,*,*,*,*,*,*,*,*
42,20,*,*,*,*,*,*,*,*,*,*,*,*
42,22,*,*,*,*,*,*,*,*,*,*,*,*
42,24,*,*,*,*,*,*,*,*,*,*,*,*
42,26,*,*,*,*,*,*,*,*,*,*,*,*
42,28,*,*,*,*,*,*,*,*,*,*,*,*
42,30,*,*,*,*,*,*,*,*,*,*,*,*
42,32,*,*,*,*,*,*,*,*,*,*,*,*
42,34,*,*,*,*,*,*,*,*,*,*,*,*
42,36,*,*,*,*,*,*,*,*,*,*,*,*
42,38,*,*,*,*,*,*,*,*,*,*,*,*
42,40,*,*,*,*,*,*,*,*,*,*,*,*
42,42,*,*,*,*,*,*,*,*,*,*,*,*
42,44,725.831701,0.438413,725.385596,0.003726,*,*,*,*,*,*,*,*
42,46,750.118075,0.020359,750.104531,0.003819,*,*,*,*,*,*,*,*
42,48,773.727888,0.006133,773.733126,0.003463,*,*,*,*,*,*,*,*
42,50,796.508262,0.003804,796.511835,0.000157,*,*,*,*,*,*,*,*
42,52,814.255602,0.001918,814.259959,0.000141,*,*,*,*,*,*,*,*
42,54,830.779026,0.001916,830.783406,0.00012,*,*,*,*,*,*,*,*
42,56,846.242889,0.001913,846.247138,0.000174,*,*,*,*,*,*,*,*
42,58,860.458109,0.005855,860.466827,0.000302,*,*,*,*,*,*,*,*
42,60,873.973909,0.020839,873.982499,0.008312,*,*,*,*,*,*,*,*
42,62,886.887739,0.053713,886.909041,0.008921,*,*,*,*,*,*,*,*
42,64,898.956787,0.017948,898.836237,0.00914,*,*,*,*,*,*,*,*
42,66,*,*,909.600287,0.009233,*,*,*,*,*,*,*,*
42,68,*,*,919.529566,0.024223,*,*,*,*,*,*,*,*
42,70,*,*,*,*,*,*,*,*,*,*,*,*
42,72,*,*,*,*,*,*,*,*,*,*,*,*
42,74,*,*,*,*,*,*,*,*,*,*,*,*
42,76,*,*,*,*,*,*,*,*,*,*,*,*
42,78,*,*,*,*,*,*,*,*,*,*,*,*
42,80,*,*,*,*,*,*,*,*,*,*,*,*
42,82,*,*,*,*,*,*,*,*,*,*,*,*
42,84,*,*,*,*,*,*,*,*,*,*,*,*
42,86,*,*,*,*,*,*,*,*,*,*,*,*
42,88,*,*,*,*,*,*,*,*,*,*,*,*
42,90,*,*,*,*,*,*,*,*,*,*,*,*
42,92,*,*,*,*,*,*,*,*,*,*,*,*
42,94,*,*,*,*,*,*,*,*,*,*,*,*
42,96,*,*,*,*,*,*,*,*,*,*,*,*
42,98,*,*,*,*,*,*,*,*,*,*,*,*
42,100,*,*,*,*,*,*,*,*,*,*,*,*
42,102,*,*,*,*,*,*,*,*,*,*,*,*
42,104,*,*,*,*,*,*,*,*,*,*,*,*
42,106,*,*,*,*,*,*,*,*,*,*,*,*
42,108,*,*,*,*,*,*,*,*,*,*,*,*
42,110,*,*,*,*,*,*,*,*,*,*,*,*
42,112,*,*,*,*,*,*,*,*,*,*,*,*
42,114,*,*,*,*,*,*,*,*,*,*,*,*
42,116,*,*,*,*,*,*,*,*,*,*,*,*
42,118,*,*,*,*,*,*,*,*,*,*,*,*
42,120,*,*,*,*,*,*,*,*,*,*,*,*
42,122,*,*,*,*,*,*,*,*,*,*,*,*
42,124,*,*,*,*,*,*,*,*,*,*,*,*
42,126,*,*,*,*,*,*,*,*,*,*,*,*
44,20,*,*,*,*,*,*,*,*,*,*,*,*
44,22,*,*,*,*,*,*,*,*,*,*,*,*
44,24,*,*,*,*,*,*,*,*,*,*,*,*
44,26,*,*,*,*,*,*,*,*,*,*,*,*
44,28,*,*,*,*,*,*,*,*,*,*,*,*
44,30,*,*,*,*,*,*,*,*,*,*,*,*
44,32,*,*,*,*,*,*,*,*,*,*,*,*
44,34,*,*,*,*,*,*,*,*,*,*,*,*
44,36,*,*,*,*,*,*,*,*,*,*,*,*
44,38,*,*,*,*,*,*,*,*,*,*,*,*
44,40,*,*,*,*,*,*,*,*,*,*,*,*
44,42,*,*,*,*,*,*,*,*,*,*,*,*
44,44,*,*,*,*,*,*,*,*,*,*,*,*
44,46,*,*,756.879749,0.00373,*,*,*,*,*,*,*,*
44,48,*,*,782.439793,0.002718,*,*,*,*,*,*,*,*
44,50,806.849126,0.012733,806.864819,0.003143,*,*,*,*,*,*,*,*
44,52,826.495926,0.007882,826.504236,0.00017,*,*,*,*,*,*,*,*
44,54,844.790969,0.006271,844.791358,0.006463,*,*,*,*,*,*,*,*
44,56,861.92812,0.002011,861.936525,0.000343,*,*,*,*,*,*,*,*
44,58,877.949814,0.002014,877.958208,0.000418,*,*,*,*,*,*,*,*
44,60,893.083279,0.003137,893.090117,0.002498,*,*,*,*,*,*,*,*
44,62,907.459121,0.007525,907.460266,0.005391,*,*,*,*,*,*,*,*
44,64,920.952558,0.116163,920.941029,0.00868,*,*,*,*,*,*,*,*
44,66,933.404078,0.053244,933.494891,0.008924,*,*,*,*,*,*,*,*
44,68,945.048567,0.073588,945.195768,0.009599,*,*,*,*,*,*,*,*
44,70,*,*,955.929397,0.00355,*,*,*,*,*,*,*,*
44,72,*,*,965.919131,0.003726,*,*,*,*,*,*,*,*
44,74,*,*,*,*,*,*,*,*,*,*,*,*
44,76,*,*,*,*,*,*,*,*,*,*,*,*
44,78,*,*,*,*,*,*,*,*,*,*,*,*
44,80,*,*,*,*,*,*,*,*,*,*,*,*
44,82,*,*,*,*,*,*,*,*,*,*,*,*
44,84,*,*,*,*,*,*,*,*,*,*,*,*
44,86,*,*,*,*,*,*,*,*,*,*,*,*
44,88,*,*,*,*,*,*,*,*,*,*,*,*
44,90,*,*,*,*,*,*,*,*,*,*,*,*
44,92,*,*,*,*,*,*,*,*,*,*,*,*
44,94,*,*,*,*,*,*,*,*,*,*,*,*
44,96,*,*,*,*,*,*,*,*,*,*,*,*
44,98,*,*,*,*,*,*,*,*,*,*,*,*
44,100,*,*,*,*,*,*,*,*,*,*,*,*
44,102,*,*,*,*,*,*,*,*,*,*,*,*
44,104,*,*,*,*,*,*,*,*,*,*,*,*
44,106,*,*,*,*,*,*,*,*,*,*,*,*
44,108,*,*,*,*,*,*,*,*,*,*,*,*
44,110,*,*,*,*,*,*,*,*,*,*,*,*
44,112,*,*,*,*,*,*,*,*,*,*,*,*
44,114,*,*,*,*,*,*,*,*,*,*,*,*
44,116,*,*,*,*,*,*,*,*,*,*,*,*
44,118,*,*,*,*,*,*,*,*,*,*,*,*
44,120,*,*,*,*,*,*,*,*,*,*,*,*
44,122,*,*,*,*,*,*,*,*,*,*,*,*
44,124,*,*,*,*,*,*,*,*,*,*,*,*
44,126,*,*,*,*,*,*,*,*,*,*,*,*
44,128,*,*,*,*,*,*,*,*,*,*,*,*
44,130,*,*,*,*,*,*,*,*,*,*,*,*
44,132,*,*,*,*,*,*,*,*,*,*,*,*
46,22,*,*,*,*,*,*,*,*,*,*,*,*
46,24,*,*,*,*,*,*,*,*,*,*,*,*
46,26,*,*,*,*,*,*,*,*,*,*,*,*
46,28,*,*,*,*,*,*,*,*,*,*,*,*
46,30,*,*,*,*,*,*,*,*,*,*,*,*
46,32,*,*,*,*,*,*,*,*,*,*,*,*
46,34,*,*,*,*,*,*,*,*,*,*,*,*
46,36,*,*,*,*,*,*,*,*,*,*,*,*
46,38,*,*,*,*,*,*,*,*,*,*,*,*
46,40,*,*,*,*,*,*,*,*,*,*,*,*
46,42,*,*,*,*,*,*,*,*,*,*,*,*
46,44,*,*,*,*,*,*,*,*,*,*,*,*
46,46,*,*,*,*,*,*,*,*,*,*,*,*
46,48,*,*,788.81883,0.004287,*,*,*,*,*,*,*,*
46,50,815.088607,0.150539,815.042604,0.004194,*,*,*,*,*,*,*,*
46,52,836.301791,0.021497,836.322809,0.004742,*,*,*,*,*,*,*,*
46,54,856.370688,0.011256,856.357248,0.017638,*,*,*,*,*,*,*,*
46,56,875.21218,0.002988,875.190276,0.000554,*,*,*,*,*,*,*,*
46,58,892.819786,0.004133,892.824846,0.001336,*,*,*,*,*,*,*,*
46,60,909.474855,0.004073,909.479904,0.001106,*,*,*,*,*,*,*,*
46,62,925.239317,0.003442,925.239219,0.001108,*,*,*,*,*,*,*,*
46,64,940.206824,0.010873,940.188554,0.000612,*,*,*,*,*,*,*,*
46,66,954.336683,0.017947,954.321846,0.006544,*,*,*,*,*,*,*,*
46,68,967.639585,0.023634,967.633863,0.006945,*,*,*,*,*,*,*,*
46,70,980.246247,0.055568,980.117191,0.007132,*,*,*,*,*,*,*,*
46,72,991.893831,0.209931,991.816938,0.002491,*,*,*,*,*,*,*,*
46,74,1002.719892,0.123908,1002.850878,0.002291,*,*,*,*,*,*,*,*
46,76,*,*,1013.329624,0.019561,*,*,*,*,*,*,*,*
46,78,*,*,*,*,*,*,*,*,*,*,*,*
46,80,*,*,*,*,*,*,*,*,*,*,*,*
46,82,*,*,*,*,*,*,*,*,*,*,*,*
46,84,*,*,*,*,*,*,*,*,*,*,*,*
46,86,*,*,*,*,*,*,*,*,*,*,*,*
46,88,*,*,*,*,*,*,*,*,*,*,*,*
46,90,*,*,*,*,*,*,*,*,*,*,*,*
46,92,*,*,*,*,*,*,*,*,*,*,*,*
46,94,*,*,*,*,*,*,*,*,*,*,*,*
46,96,*,*,*,*,*,*,*,*,*,*,*,*
46,98,*,*,*,*,*,*,*,*,*,*,*,*
46,100,*,*,*,*,*,*,*,*,*,*,*,*
